Value|Category|Answer|Question
100|THE EMANCIPATION PROCLAMATION|the 13th Amendment|The decree became law with the passage of this actually quite lucky amendment to the Constitution
200|THE EMANCIPATION PROCLAMATION|William Seward|It was signed by Abe Lincoln & this Secretary of State
300|THE EMANCIPATION PROCLAMATION|January 1, 1863|The preliminary Proclamation was issued Sept, 22, 1862: the real one followed 100 days later, on this date
400|THE EMANCIPATION PROCLAMATION|Texas|It was the westernmost state mentioned by name in the Proclamation
500|THE EMANCIPATION PROCLAMATION|Liberia|An 1862 proclamation freeing D.C.'s slaves offered to help them move to Haiti or this African country
100|ISLANDS|Philippines|Mindanao in this island nation is one of the world's leading producers of Manila hemp
200|ISLANDS|Tasmania|It's not only Australia's southernmost state, it's the most mountainous as well
300|ISLANDS|Shetland Islands|Principal exports of this archipelago north of Scotland include wool & its famous ponies
400|ISLANDS|Newfoundland|This Canadian island is separated from the mainland by the Strait of Belle Isle & the Gulf of St. Lawrence
500|ISLANDS|Greenland|The Danes call this island dependency in the north Atlantic Gronland
100|FAIRIES|brownie|Despite its name, you shouldn't eat this sprite; it won't sell you Girl Scout cookies either
200|FAIRIES|blue|Australia's fairy wren & Pinocchio's fairy friend are this color
300|FAIRIES|Sleeping Beauty|Good fairies Flora, Fauna & Merryweather defended this Disney damsel
400|FAIRIES|Tinkerbell|On stage, this fairy, visible only as a dancing light, swallows poison to save Peter Pan's life
500|FAIRIES|Baby|Sometimes a fairy will steal one of these & leave a changeling in its place
100|WET & WILD|Insect|Of a bird, a fish or an insect, what a water boatman is
200|WET & WILD|Spaniel|The American Water & Irish Water breeds of this dog are both noted for retrieving waterfowl
300|WET & WILD|Water buffalo|Bubalus babalis is the scientific name of this animal also known as the water ox
400|WET & WILD|Capybara|Water hog is another name for this, the largest living rodent, that looks like a giant guinea pig
500|WET & WILD|South America|The water opossum is also called the yapok, in honor of this continent's Oyapok River
100|WASHINGTON STATE|The Space Needle|2 restaurants atop this 605-foot Seattle landmark turn at one revolution per hour
200|WASHINGTON STATE|Pontoon Bridge|One of the world's longest floating structures of this type carries I-90 traffic over Lake Washington
300|WASHINGTON STATE|Bonds|In 1983 WPPSS, the Washington Public Power Supply System, defaulted on a record $2.25 bil. worth of these
400|WASHINGTON STATE|Grand Coulee Dam|This dam on the Columbia River has a generating capacity of nearly 6.5 million kilowatts
500|WASHINGTON STATE|the Mount St. Helens eruption|After this 1980 natural disaster, Congress created a natl. monument incorporating 110,000 acres in SW Washington
100|LAST NAME'S THE SAME|Adams|Don, Abigail, Ansel
200|LAST NAME'S THE SAME|Crawford|Michael, Cindy, Christina
300|LAST NAME'S THE SAME|Graham|Modern dance choreographer Martha & Washington Post publisher Katharine
400|LAST NAME'S THE SAME|Buchanan|Conservative journalist Patrick & bachelor president James
500|LAST NAME'S THE SAME|Carson|Scout Kit & marine biologist Rachel
100|COMMUNICATION|microphone|When making a movie, it's a sound idea to have one of these dangling from the end of your boom
200|COMMUNICATION|the speaker|1-word term for the presiding officer in Britain's House of Commons & our House of Representatives
300|COMMUNICATION|Voice of America|It's the broadcasting service of the U.S. International Communication Agency
400|COMMUNICATION|Alexander Graham Bell|The telephone company named for this man was founded in 1877, a year after his invention
500|COMMUNICATION|Smoke|American Indians sent signals using this vaporous substance
100|FORMER NAMES OF COUNTRIES|Iran|Persia
200|FORMER NAMES OF COUNTRIES|Sri Lanka|Ceylon
300|FORMER NAMES OF COUNTRIES|Switzerland|Helvetia
400|FORMER NAMES OF COUNTRIES|Tanzania|The United Republic of Tanganyika & Zanzibar
500|FORMER NAMES OF COUNTRIES|Madagascar|The Malagasy Republic
100|ATHLETES|synchronized swimming|Anastasia Davydova & Anastasia Ermakova are one of the greatest ever duos in this aquatic event
200|ATHLETES|Muhammad Ali|This boxer had his first professional fight in 1960 under his given name, Cassius Clay
300|ATHLETES|Annika Sorenstam|She shot out of Sweden to win the world championship of women's golf in 1995 & 1996
400|ATHLETES|Diego Maradona|This man who led Argentina to the 1986 World Cup soccer title played for Italy's Napoli from 1984 to 1991
500|ATHLETES|Michelle Kwan|14-year-old Tara Lipinski upset this world champion at the 1997 U.S. Figure Skating Championship
100|1957|The Three Faces of Eve|Joanne Woodward exhibited a trio of personalities in this 1957 film
200|1957|Edsel|During the summer Ford rolled out this all-new auto; big mistake!
300|1957|Marquis de Lafayette|Ceremonies in the U.S. & France marked this statesman's 200th birthday
400|1957|Profiles In Courage|In May, John F. Kennedy was awarded a Pulitzer Prize for Biography for this book
500|1957|Dag Hammarskjold|This Swedish statesman was elected to a second term as U.N. Secretary-General
100|SKYSCRAPERS BY CITY|Las Vegas|New York-New York Hotel & Casino
200|SKYSCRAPERS BY CITY|Detroit|Cadillac Tower
300|SKYSCRAPERS BY CITY|San Francisco|Transamerica Pyramid
400|SKYSCRAPERS BY CITY|Minneapolis|Pillsbury Building
500|SKYSCRAPERS BY CITY|Nashville|James K. Polk State Office Building
100|GAMES PEOPLE PLAY|Dungeons & Dragons|One of the world's most popular RPGs, role playing games, is D&D, this game
200|GAMES PEOPLE PLAY|Darts|Round the clock is a type of this game played in pubs & pizza parlors
300|GAMES PEOPLE PLAY|Chance & Community Chest|They're the 2 piles of cards from which players draw during a Monopoly game
400|GAMES PEOPLE PLAY|Yahtzee|You're on a roll if you know this dice game was invented by a wealthy couple to play on their luxury boat
500|GAMES PEOPLE PLAY|Battleship|J-10--miss! H-5--hit! One more hit in this game & I'll have sunk your title vessel
100|THE SOLAR SYSTEM|Neptune|On Oct. 10, 1846, 17 days after the discovery of this planet, its largest moon, Triton, was discovered
200|THE SOLAR SYSTEM|solar flares|These solar discharges consisting of light, heat & cosmic rays may last up to an hour
300|THE SOLAR SYSTEM|the Kuiper Belt|In July 2005 scientists announced the discovery of Eris, a dwarf planet larger than Pluto, in this belt
400|THE SOLAR SYSTEM|Galileo|In the 1600s his findings like the phases of Venus made this Italian think maybe the sun is what stuff revolves around
500|THE SOLAR SYSTEM|Mars|Ares Vallis is one of the larger channels on the surface of this planet
100|GOIN' MOBILE|Toyota|On the highway this co.'s Corolla gets 40 mpg, its Land Cruiser, 17 (it'll be important to you one day, trust me)
200|GOIN' MOBILE|Amtrak|S. Dak., Alaska, Wyo. &, obviously, Hawaii are the only 4 states not on this natl. train co.'s passenger route map
300|GOIN' MOBILE|The Spirit of St. Louis|On May 20, 1927 at 7:52 A.M., Charles Lindbergh took to the skies of New York in this plane
400|GOIN' MOBILE|Honda|In 2005 Dan Wheldon led a 1-2-3-4 finish at the Indy 500 for cars made by this co., known for its Accord & CR-V
500|GOIN' MOBILE|a spike|On May 10, 1869, No. 119 & the Jupiter were the 2 trains head-to-head when this golden item was hammered home
100|NEW MEXICO|Los Alamos|A letter from Einstein to FDR is on display at the Bradbury Science Museum in this city, birthplace of the atomic bomb
200|NEW MEXICO|Roswell|This city hosts an annual UFO festival during the first week of July
300|NEW MEXICO|Santa Fe|Built in 1610, the Palace of the Governors in this city is the oldest public building in the U.S.
400|NEW MEXICO|Taos|D.H. Lawrence lived in this artistic city from 1922 to 1925 & his ashes were returned there for burial
500|NEW MEXICO|Alburquerque|New Mexico's largest city, it was named for a viceroy of New Spain
100|FORM LETTERS|E-Z|The simplest version of IRS Form 1040 adds these 2 letters
200|FORM LETTERS|the FBI|To get the 411, submit an eFOIA (Freedom of Information Act) form to this Justice Dept. main investigative body
300|FORM LETTERS|Veterans Affairs|In form VA4962, Verification of Eligibility for Burial in a National Cemetery, VA is this Cabinet department
400|FORM LETTERS|the FCC|302-AM is an application for a broadcast station license with this agency
500|FORM LETTERS|H.U.D.|These 3 letters refer to a Cabinet department & precede 30106 in a sample move in/move out inspection form
100|PRESIDENTIAL FIRSTS|Abraham Lincoln|Though Detective Pinkerton saved him once, he later became 1st assassinated president
200|PRESIDENTIAL FIRSTS|John Adams|Second U.S. president, he was the 1st defeated for re-election
300|PRESIDENTIAL FIRSTS|George Washington|1st president to refuse a 3rd term
400|PRESIDENTIAL FIRSTS|Jimmy Carter|On Oct. 1, 1924, he was born at the Wise Clinic in Plains, Georgia, the first president born in a hospital
500|PRESIDENTIAL FIRSTS|Franklin D. Roosevelt|The first presidential airplane, nicknamed The Sacred Cow, was delivered to him in 1944
100|NEWS OF 2005|(Tony) Blair|Congratulations were in order on May 4 when this man was elected to a third term as British PM
200|NEWS OF 2005|Discovery|To the relief of many, on August 8 this Space Shuttle returned safely to Earth following launch problems
300|NEWS OF 2005|the Astrodome|In Sept. 2005 the Post Office assigned the ZIP code 77230 to this Texas arena so that people could again receive mail
400|NEWS OF 2005|Delta (or Northwest)|One of the 2 major airlines that declared bankruptcy on September 14
500|NEWS OF 2005|(John) Bolton|On Sept. 30 he was appointed U.N. Ambassador, bypassing Senate approval
100|NOTABLE NAMES|Kaddafi|In 2003 the son of this Libyan strongman joined the Italian soccer club Perugia
200|NOTABLE NAMES|the Shubert family|The organization of these theater-building brothers, Lee, Sam & Jacob, came to dominate the U.S. stage
300|NOTABLE NAMES|(Charles) Lindbergh|About 100,000 people were on hand to greet him at Le Bourget Airfield when he landed there in 1927
400|NOTABLE NAMES|(Benjamin) Franklin|At 81, he was the oldest man to sign the U.S. Constitution
500|NOTABLE NAMES|Grant|Maryville Wood, an Iowa farmer, gave this name to his artistically gifted son
100|ZOOLOGY|Rodents|The agouti, about the size of a rabbit but related to the guinea pig, belongs to this order of mammals
200|ZOOLOGY|teeth|Dolphins & porpoises belong to a suborder called Odontoceti, which means they have these
300|ZOOLOGY|a hummingbird|During courtship & fast maneuvers, this bird can beat its wings more than 200 times per second
400|ZOOLOGY|the armadillo|Not only does it have armor to protect itself, the 3-banded variety of this can also roll into a ball
500|ZOOLOGY|a mandrill|The male of this baboon relative is quite colorful--blue cheeks, a long red nose & a red, blue & violet rump
100|SU-SU-SUSHI-O|soybeans|Often served as an appetizer, edamame are these legumes, served in the pod
200|SU-SU-SUSHI-O|wasabi|The powder form of this green condiment must be mixed with water before becoming a paste
300|SU-SU-SUSHI-O|tofu|Before you have your sushi, try some miso soup, which usually has green onions & cubes of this in it
400|SU-SU-SUSHI-O|avocado|Crab, cucumber, rice & this fatty fruit are all wrapped up in a California roll
500|SU-SU-SUSHI-O|eel|Anago is the salt water type of this fish; unagi is the fresh water
100|RIVER CITY|the Rhine|Cologne, Germany
200|RIVER CITY|the Rhine|Basel, Switzerland
300|RIVER CITY|the Rhine|Strasbourg, France
400|RIVER CITY|the Rhine|Arnhem, Netherlands
500|RIVER CITY|the Danube|Vienna, Austria
100|MEASURE THIS!|a ten-gallon hat|Contrary to its name, this signature cowboy accessory would actually hold about 96 ounces
200|MEASURE THIS!|a knot (or a nautical mile)|Used by junks & schooners alike, it's about 1.15 miles
300|MEASURE THIS!|a 2-by-4|Due to drying & planing, the piece of lumber known by this name is actually 1 1/2 inches by 3 1/2 inches
400|MEASURE THIS!|an acre|Bring your hoe!  This unit of land is equal to 43,560 square feet
500|MEASURE THIS!|millimeters|In a blood pressure reading such as 115/75, the numbers represent these of mercury
100|NAVY SEALS|Jesse Ventura|This wrestler & Minnesota governor served on a SEAL underwater demolition team in the Vietnam era
200|NAVY SEALS|an admiral|U.S. special operations commander Eric T. Olson is the first SEAL to achieve 4-star status as one of these
300|NAVY SEALS|an astronaut|SEAL Christopher Cassidy completed training as one of these in 2006; he was a mission specialist on STS-127
400|NAVY SEALS|Bob Kerrey|As a SEAL team leader in Vietnam, this Nebraska senator earned the Medal of Honor
500|NAVY SEALS|Mogadishu|SEAL John Gay survived a firefight in this Somali capital after a bullet deflected off the knife he wore
100|THE CONTINENT...|Africa|...Where arboreal hominids called dryopiths lived 16 million years ago
200|THE CONTINENT...|South America|...That has the largest rain forest area in the world
300|THE CONTINENT...|Antarctica|...That contains 70% of Earth's fresh-water resources
400|THE CONTINENT...|Asia|...That has its lowest point 1300 feet below sea level at the Dead Sea shoreline
500|THE CONTINENT...|Africa|...with the most countries
100|POTLUCK|2000|It's the year in which the last U.S. Census was taken
200|POTLUCK|a Whopper|It's a big lie, or a big burger from Burger King
300|POTLUCK|mountains|By definition, orogeny is the geologic process by which these are formed on earth
400|POTLUCK|a guillotine|In 1977 a Tunisian immigrant became the last prisoner in France to be executed with this device
500|POTLUCK|play it|Eat it, wear it, or play it--what a Greek would do with a bouzouki
100|FACTS & FIGURES|unions|In 2007, 12.1% of U.S. wage & salary workers were members of these, down from 20% in 1983
200|FACTS & FIGURES|words|There are currently over 900,000 of these & the avg. American uses under 14,000; Shakespeare used 24,000
300|FACTS & FIGURES|the Queen Mary 2|Name & number please: launched in 2004, it's 1,132 feet long, has 10 restaurants & 5 pools, & carries 2,620 passengers
400|FACTS & FIGURES|Catholicism|With more than 1 billion members, it's the largest branch of Christianity
500|FACTS & FIGURES|William Henry Harrison|At just more than 30 days, he served the shortest term as president
100|TENNIS|Gabriela Sabatini|Born in Buenos Aires in 1970, she became a tennis pro at age 14
200|TENNIS|Lindsay Davenport|This Californian gave birth in June 2007 & returned to the pro tour that fall
300|TENNIS|Wimbledon|The ladies' singles trophy for this event is a sterling silver tray called the Rosewater Dish
400|TENNIS|John McEnroe|This feisty American's 1984 winning percentage of .965 is the best in the ATP Tour's modern era
500|TENNIS|Steffi Graf|Only 3 women have won more than 100 singles titles: Martina Navratilova, Chris Evert & this European
100|THE SHORT FORM|pectorals|Bench presses build up the pecs, short for these
200|THE SHORT FORM|a conversation|The Cosmo girl doesn't just look good; she can have a convo, short for this
300|THE SHORT FORM|prescription|If your internist gives you a scrip, it's short for this
400|THE SHORT FORM|Cabernet|A cab you drink is short for this word
500|THE SHORT FORM|cabriolet|A cab you ride in is short for this word that was a carriage before it was a VW
100|RHYMES WITH POWER|tower|A tall building or structure
200|RHYMES WITH POWER|a flower|One carnation or one buttercup
300|RHYMES WITH POWER|a shower|A light rain
400|RHYMES WITH POWER|an hour|3,600 seconds
500|RHYMES WITH POWER|cower|To cringe in fear
100|WORDS|Eucalyptus|This type of tree from the Greek kalyptein, to cover, covers over 500 species
200|WORDS|Gilbert & Sullivan|A Savoyard is a fan of this duo's works, which were 1st presented at the Savoy Theater
300|WORDS|breathalyzer|This device that tests drivers to see if they're sober came into use around 1960
400|WORDS|spritzer|This word for a white wine & soda drink first appeared in Webster's in 1961
500|WORDS|Instamatic|Kodak coined this word for its self-loading camera in the early '60s
100|PRESIDENTIAL TRAVELS|Japan|The flag might clue you in that Clinton's speaking to this country's parliament (the Diet)
200|PRESIDENTIAL TRAVELS|Moscow|That's the president in the fur in this world capital (standing in front of Saint Basil's Cathedral)
300|PRESIDENTIAL TRAVELS|Africa|The president is seen here early in a 1998 six-nation tour of this continent
400|PRESIDENTIAL TRAVELS|Martha's Vineyard|The president's on holiday on this island about 5 miles from Cape Cod
500|PRESIDENTIAL TRAVELS|Brazil|Clinton's in this country embracing one of its legendary athletes (Pele)
100|POPCORN|United States|This country produces most of the popcorn consumed in the world
200|POPCORN|popcorn ball|In 1995 some Boy Scouts in Wisconsin produced a Guinness-record 2,377-pound one of these
300|POPCORN|Orville Redenbacher|In Disneyland vendors sell this man's gourmet popping corn
400|POPCORN|moisture|Popcorn pops because this inside the kernel expands when heated
500|POPCORN|Massasoit|Legend says that in 1621 this chief's brother Quadequina brought popcorn to the first Thanksgiving
100|THE FRENCH REVOLUTION|Tbe Bastille|On July 14, 1789 Camille Desmoulins incited a mob to storm this fortress, thus beginning the revolution
200|THE FRENCH REVOLUTION|Napoleon|The French Revolution ended when he seized control of the Directory on November 9, 1799
300|THE FRENCH REVOLUTION|Robespierre|Reign of Terror leader who served as president of the Jacobin Society
400|THE FRENCH REVOLUTION|the clergy|A month before Bastille Day, the Estates--commoners, nobility & this group--became one national assembly
500|THE FRENCH REVOLUTION|Lafayette|This nobleman who aided America during its revolution was head of the Paris National Guard
100|PUPPETS FOR DUMMIES|Jim Henson|Rowlf the Dog,  Kermit the Frog
200|PUPPETS FOR DUMMIES|Shari Lewis|Lamb Chop, Charlie Horse, Hush Puppy
300|PUPPETS FOR DUMMIES|Frank Oz|Yoda, Cookie Monster, Miss Piggy
400|PUPPETS FOR DUMMIES|Señor Wences|Pedro, Johnny
500|PUPPETS FOR DUMMIES|Wayland Flowers|Madame
100|IT'S MY FOREIGN PARTY|Islam|Muhammad Husayn Fadlallah helped found the Hezbollah Party in Lebanon to promote this religion
200|IT'S MY FOREIGN PARTY|Panama|In 1989 ADOC alliance leader Guillermo Endara was elected this country's president, but Noriega nixed it
300|IT'S MY FOREIGN PARTY|South Africa|Mangosuthu Buthelezi's Inkatha Freedom Party operated in this country while the ANC was outlawed
400|IT'S MY FOREIGN PARTY|Greenland|In 1995 the Inuit Brotherhood held 6 seats in this island's Landsting
500|IT'S MY FOREIGN PARTY|Turkey|The True Path Party's Suleyman Demirel became this country's president in 1993
100|MYTHING IN ACTION|Memphis|Also the name of a Tennessee city, this ancient capital was a center of worship of Ptah, father of the Egyptian gods
200|MYTHING IN ACTION|Japan|The yata-no-kagami mirror was used by the sun goddess Amaterasu to bring light to the world in this country's mythology
300|MYTHING IN ACTION|New Zealand|Maori legend says the south island of this country is the canoe of the Polynesian demi-god Maui
400|MYTHING IN ACTION|Troy|The wooden statue Palladium kept this city safe until Odysseus & Diomedes took it
500|MYTHING IN ACTION|Excalibur|One legend says this was given by the Lady of the Lake & thrown back in the lake on King Arthur's death
100|NAME THE CITY|Providence|Roger Williams National Memorial
200|NAME THE CITY|New Orleans|Marie Laveau's House of Voodoo
300|NAME THE CITY|Austin|The South by Southwest festival
400|NAME THE CITY|San Francisco|The Beat Museum in North Beach
500|NAME THE CITY|Minneapolis|The American Swedish Institute
100|ESOTERICA|Japan|Kukai, also known as Kobo Daishi, brought esoteric Shingon Buddhism to this country
200|ESOTERICA|alchemy|This art of transmuting metals broke up into branches; the esoterics drew away from lab practices
300|ESOTERICA|Kabbalah|This esoteric tradition of Jewish mysticism involves 10 divine numbers or emanations
400|ESOTERICA|Paris|Foucault hung his pendulum from the dome of the Pantheon in this city
500|ESOTERICA|glaciers|The Pleistocene Epoch was the last time about 1/3 of the Earth's land surface was covered by these
100|WE'VE GOT ISSUES|Wine|A 2006 issue of a magazine called this Spectator included articles on Chardonnay & Southern France's best reds
200|WE'VE GOT ISSUES|Good Housekeeping|Hopefully this magazine with editor-in-chief Rosemary Ellis earned its own seal of approval
300|WE'VE GOT ISSUES|nuclear power plant|In 2001 terrorism fears spurred calls to close Indian Point, this type of power plant near NYC
400|WE'VE GOT ISSUES|hypodermic needles|In 1998 philanthropist George Soros pledged $1 million to distribute clean ones to prevent HIV spread
500|WE'VE GOT ISSUES|Oregon|In 1994 this state's voters approved a controversial measure allowing assisted suicide
100|CAPITAL CITY UNIVERSITIES|New Delhi|Indira Gandhi National Open University
200|CAPITAL CITY UNIVERSITIES|Rome|Istituto Guglielmo Tagliacarne
300|CAPITAL CITY UNIVERSITIES|Moscow|D.I. Mendeleyev University of Chemical Technology
400|CAPITAL CITY UNIVERSITIES|Washington, D.C.|Gallaudet University
500|CAPITAL CITY UNIVERSITIES|Seoul|Kyung Hee University
100|STATE CAPITALS|Boston|Its newspapers include the Globe, the Herald & the Christian Science Monitor
200|STATE CAPITALS|Salt Lake City|One of the world's largest pipe organs is found in the tabernacle in this state capital
300|STATE CAPITALS|Sacramento|In 1860 & 1861 Pony Express riders carried the mail from St. Joseph, Mo. ending in this Western capital
400|STATE CAPITALS|Indianapolis|4 cities lie within this state capital's city limits: Beech Grove, Southport, Lawrence & Speedway
500|STATE CAPITALS|Providence|This Rhode Island city has almost twice the population of Warwick, the state's second largest city
100|THE OLD TESTAMENT|Levi|Oddly, this tribe for whom the third book is named, is mentioned in only one passage there
200|THE OLD TESTAMENT|Philistines|In 1 Samuel 4, these people captured the Ark of the Covenant after defeating Israel in battle
300|THE OLD TESTAMENT|Delilah|After 3 attempts, she discovered the secret of Samson's strength & betrayed him to the Philistines
400|THE OLD TESTAMENT|Queen of Sheba|This queen gave Solomon 120 talents of gold & other precious items
500|THE OLD TESTAMENT|Moses|Miriam & Aaron criticized this man, their brother, for marrying an Ethiopian
100|SCIENCE|Steam|In 1698 Thomas Savery designed the first practical engine to run on this power
200|SCIENCE|Globulins|This blood protein now comes in alpha, beta & gamma types
300|SCIENCE|iron|Ferrovanadium is an alloy of vanadium & this metal
400|SCIENCE|hooves|The horny casing of the toes of ungulates is called this
500|SCIENCE|the Hubble telescope|In 1990 this space telescope provided the first picture of Charon as completely separate from Pluto
100|FOREIGN WORDS & PHRASES|mountain|In Japanese umi is sea or ocean & yama is this
200|FOREIGN WORDS & PHRASES|magnum opus|An artist or writer's greatest work is often referred to by this 2-word Latin phrase
300|FOREIGN WORDS & PHRASES|a cappella|This Italian term describes music that has no instrumental accompaniment
400|FOREIGN WORDS & PHRASES|eggs|The Spanish term for these scrambled items is huevos revueltos
500|FOREIGN WORDS & PHRASES|coconut|In Dutch, apricots are abrikozen, figs are vijgen & this fruit is kokosnoot
100|COLORS|Yellow|Maize is a shade of this color
200|COLORS|Violet|The shortest wavelength of the visible color spectrum is this color
300|COLORS|blue|Shades of this color include powder, sapphire & navy
400|COLORS|grey|Battleship is a tint of this color
500|COLORS|champagne|This pale yellow color shares its name with a French region & the sparkling wine produced there
100|WAY BACK ON AUGUST 1|Slavery|The British Empire abolished this practice August 1, 1834, decades before the U.S.
200|WAY BACK ON AUGUST 1|Francis Scott Key|August 1, 1779 marked the birth of this lawyer who penned the poem that became our national anthem
300|WAY BACK ON AUGUST 1|Jerry Garcia|This innovative performer, seen here, was born August 1, 1942
400|WAY BACK ON AUGUST 1|Swiss confederation|For defense against the Austrians, this confederation was formed August 1, 1291 by 3 cantons
500|WAY BACK ON AUGUST 1|Dr. David Livingstone|On August 1, 1849 this missionary became the first European to reach Africa's Lake Ngami
100|FOOD FACTS|Doilys|In Chinese cuisine, pancakes kept in a steamer are often called these, like small ornamental mats
200|FOOD FACTS|Cider mill|At Stout's, this type of mill in Willcox, Arizona, you can also buy apple butter, cake & pie
300|FOOD FACTS|Sweden|Wasa crackers originally came from this country
400|FOOD FACTS|Tofurky|Brand name of the tofu Thanksgiving dish from entrepreneur Seth Tibbott
500|FOOD FACTS|Eskimos|You can sell ice cream to these people if it's aqutaq, which they make from seal oil & caribou fat
100|COUNTRY TIME|England|In 2007, the 100th anniversary of the founding of boy scouting was celebrated in this country where it began
200|COUNTRY TIME|Russia|The world's longest oil pipeline runs 2,500 miles from Samara in this country to Mozyr in Belarus
300|COUNTRY TIME|Belgium|Stanley Kowalski might yell out for a Stella Artois beer from this country
400|COUNTRY TIME|South Korea|Daegu Polytechnic College & the Catholic University of Pusan are 2 colleges in this country
500|COUNTRY TIME|Cuba|Hand-rolled Cohiba & Montecristo cigars originated in this country
100|MUSCLE CARS|a Corvette|John Lingenfelter remodeled this iconic Chevy sports car to go 0-60 in under 2 seconds & even race an F-18
200|MUSCLE CARS|the Road Runner|A Plymouth named for this Warner Bros. cartoon character even had the horn sound to match
300|MUSCLE CARS|Dodge|The 1968 Dart GTS was a muscle car from this maker
400|MUSCLE CARS|Talladega|In the '60s Ford named a fastback after this newly opened Alabama speedway
500|MUSCLE CARS|Dodge|With a lighter body and large engine, this company's 1968 Dart offered superior handling
100|WELCOME TO MY POLITICAL PARTY|a Republican|Strom Thurmond, from 1964 to 2003
200|WELCOME TO MY POLITICAL PARTY|a Democrat|Strom Thurmond, until 1964 (except when running for president in 1948)
300|WELCOME TO MY POLITICAL PARTY|a Dixiecrat|Strom Thurmond, running for president in 1948
400|WELCOME TO MY POLITICAL PARTY|Whigs|In the 1840s: Henry Clay, Horace Greeley, William Seward
500|WELCOME TO MY POLITICAL PARTY|the Reform Party|Ross Perot, independent in 1992, & this other party in 1996
100|PROPER NAMES|an Oscar|Win an Academy Award & you'll go home with this golden guy
200|PROPER NAMES|a derrick|The name of this towerlike framework over an oil well comes from that of a 17th century hangman
300|PROPER NAMES|a glen|Derived from Scottish Gaelic, it's a narrow, secluded valley, as Ms. Close might tell you
400|PROPER NAMES|rosemary|You might remember that this herb with needle-shaped leaves is a traditional seasoning for lamb
500|PROPER NAMES|Carol|General term for a Christmas song or hymn
100|PICK THE MAMMAL|a fawn|Prawn, fawn, satyricon
200|PICK THE MAMMAL|a civet|Civet, civray, cygnet
300|PICK THE MAMMAL|a borzoi|Koi, bolshoi, borzoi, bok choy
400|PICK THE MAMMAL|an echidna|Scarab, scallop, escolar, echidna
500|PICK THE MAMMAL|a nutria|Newt, nutria, nucleolus, neufchatel
100|FURNITURE|Federal|This American furniture style that appeared about 1790 was named for the new style of government
200|FURNITURE|pearl|Some 19th century papier mache furniture was painted & then inlaid with mother-of-this
300|FURNITURE|a lamp|A torchiere is a standing one of these that often has an inverted bowl shade
400|FURNITURE|a table|The gateleg style of this piece of furniture is a variation of the drop-leaf one
500|FURNITURE|a trundle|This type of low bed has casters so that it can be rolled under another bed for storage
100|BRIT SPEAK|the Tube|It's the 4-letter term Londoners use for the subway
200|BRIT SPEAK|the lift|In a department store, you wouldn't look for the elevator but for this
300|BRIT SPEAK|an umbrella|A brolly is one of these--don't leave home without it on a rainy day
400|BRIT SPEAK|a holiday|It's not just a special occasion like Easter or Boxing Day, it's also a vacation in general
500|BRIT SPEAK|a band-aid|Elastoplast isn't a cartoon villain, it's one of these that sometimes stings when you yank it off
100|ABOUT THE STATES|New Hampshire|It's the only state that borders Maine
200|ABOUT THE STATES|counties|Delaware has only 3 of these: New Castle, Kent & Sussex
300|ABOUT THE STATES|the Nautilus|The state ship of Connecticut is this early nuclear submarine
400|ABOUT THE STATES|Wisconsin|Orson Welles' birthplace of Kenosha is in this state
500|ABOUT THE STATES|Kansas|It's named for an Indian people also known as the Kaw
100|ANCIENT HISTORY|Spartacus|This Thracian gladiator organized a revolt of gladiators & slaves & defeated 2 Roman armies in 72 B.C.
200|ANCIENT HISTORY|Constantine|In 337 A.D. this first Christian Roman emperor abolished crucifixion as a form of execution
300|ANCIENT HISTORY|Carthage|In 439 A.D. the Vandals established their capital in this North African city founded by the Phoenicians
400|ANCIENT HISTORY|Solon|This Athenian lawmaker revised most of Draco's 7th century B.C. code of justice
500|ANCIENT HISTORY|Hammurabi|Babylon was united in the 18th century B.C. under this Amorite king best known for his legal pronouncements
100|HEALTH MATTERS|cataracts|Approximately 7 out of every 10 people over 75 are affected by these, a clouding of the eye lenses
200|HEALTH MATTERS|root canal|Pray for a good anaesthetic when having this procedure in which the nerve & pulp of a tooth are removed
300|HEALTH MATTERS|MSG|Headache & nausea are symptoms of Chinese restaurant syndrome, a reaction to this flavor enhancer
400|HEALTH MATTERS|salt|To control high blood pressure, you should exercise, eat right & reduce this seasoning in your diet
500|HEALTH MATTERS|diabetes|This chronic disease is the leading cause of blindness in people 20 to 74
100|THE LARGEST IN AREA|Labrador|Lagos, Labrador, LaGuardia Airport
200|THE LARGEST IN AREA|Botswana|The Caspian Sea, Delaware, Botswana
300|THE LARGEST IN AREA|Rhode Island|Lake Okeechobee, Monaco, Rhode Island
400|THE LARGEST IN AREA|Vatican City|Vatican City, Disneyland Park, Buckingham Palace
500|THE LARGEST IN AREA|the Everglades|Manhattan, Everglades National Park, the Pentagon
100|LOOKS LIKE WE MADE IT|Levi's|A clothing company: Slim Straight 514 Cords, 501 Originals
200|LOOKS LIKE WE MADE IT|IKEA|A furniture store: Ektorp, Leksvik, Aspelund--some assembly may be required
300|LOOKS LIKE WE MADE IT|IHOP|A restaurant chain: The Big Steak Omelette, the Rooty Tooty Fresh 'n Fruity
400|LOOKS LIKE WE MADE IT|Rolls-Royce|A car: The Phantom Drophead Coupe, a 24-carat solid gold Spirit of Ecstasy (a heck of a hood ornament)
500|LOOKS LIKE WE MADE IT|Revlon|A cosmetics giant: Age Defying makeup with Botafirm for dry skin, Pinch Me sheer gel blush
